date,strategy,benchmark
2022-07-01,10128.512697122282,3825.330078125
2022-07-05,10147.641733680786,3831.389892578125
2022-07-06,10181.912420194887,3845.080078125
2022-07-07,10334.408871410607,3902.6201171875
2022-07-08,10325.90735302311,3899.3798828125
2022-07-11,10207.949508947651,3854.429931640625
2022-07-12,10117.619739071655,3818.800048828125
2022-07-13,10064.485455878672,3801.780029296875
2022-07-14,10040.043487150177,3790.3798828125
2022-07-15,10231.859771001391,3863.159912109375
2022-07-18,10147.375466885655,3830.85009765625
2022-07-19,10421.550055069098,3936.68994140625
2022-07-20,10487.967909060328,3959.89990234375
2022-07-21,10594.769009036563,3998.949951171875
2022-07-22,10496.469427447826,3961.6298828125
2022-07-25,10509.221291571317,3966.840087890625
2022-07-26,10384.887101976356,3921.050048828125
2022-07-27,10654.545077628673,4023.610107421875
2022-07-28,10788.17793216551,4072.429931640625
2022-07-29,10945.455608876466,4130.2900390625
2022-08-01,10913.04465535074,4118.6298828125
2022-08-02,10841.047602394387,4091.18994140625
2022-08-03,11010.812530264724,4155.169921875
2022-08-04,11003.37277139571,4151.93994140625
2022-08-05,10984.776268427475,4145.18994140625
2022-08-08,10972.024404303984,4140.06005859375
2022-08-09,10928.454225932495,4122.47021484375
2022-08-10,11157.995222394939,4210.240234375
2022-08-11,11157.995222394939,4207.27001953125
2022-08-12,11346.88918682378,4280.14990234375
2022-08-15,11393.647124497264,4297.14013671875
2022-08-16,11415.96309344225,4305.2001953125
2022-08-17,11334.933642339154,4274.0400390625
2022-08-18,11367.877129455148,4283.740234375
2022-08-19,11215.116065275319,4228.47998046875
2022-08-22,10981.587682209964,4137.990234375
2022-08-23,10955.021367528985,4128.72998046875
2022-08-24,10990.090027512975,4140.77001953125
2022-08-25,11145.243358271448,4199.1201171875
2022-08-26,10767.986309173006,4057.659912109375
2022-08-29,10696.78640277103,4030.610107421875
2022-08-30,10579.359438454812,3986.159912109375
2022-08-31,10498.860040195446,3955.0
2022-09-01,10531.804354226952,3966.85009765625
2022-09-02,10420.753735430237,3924.260009765625
2022-09-06,10381.433075879228,3908.18994140625
2022-09-07,10567.934773729427,3979.8701171875
2022-09-08,10637.011161094433,4006.179931640625
2022-09-09,10802.259476433645,4067.360107421875
2022-09-12,10918.35758752073,4110.41015625
2022-09-13,10443.600584134465,3932.68994140625
2022-09-14,10483.452123444717,3946.010009765625
2022-09-15,10364.430866019746,3901.35009765625
2022-09-16,10285.361204682078,3873.330078125
2022-09-19,10365.12299430399,3899.889892578125
2022-09-20,10246.146390316713,3855.929931640625
2022-09-21,10067.41439062515,3789.929931640625
2022-09-22,9982.85070262018,3757.989990234375
2022-09-23,9815.58967492272,3693.22998046875
2022-09-26,9718.485813165546,3655.0400390625
2022-09-27,9718.485813165546,3647.2900390625
2022-09-28,9718.485813165546,3719.0400390625
2022-09-29,9718.485813165546,3640.469970703125
2022-09-30,9718.485813165546,3585.6201171875
2022-10-03,9718.485813165546,3678.429931640625
2022-10-04,9718.485813165546,3790.929931640625
2022-10-05,9695.858918898419,3783.280029296875
2022-10-06,9595.83878474519,3744.52001953125
2022-10-07,9595.83878474519,3639.659912109375
2022-10-10,9595.83878474519,3612.389892578125
2022-10-11,9595.83878474519,3588.840087890625
2022-10-12,9595.83878474519,3577.030029296875
2022-10-13,9595.83878474519,3669.909912109375
2022-10-14,9595.83878474519,3583.070068359375
2022-10-17,9595.83878474519,3677.949951171875
2022-10-18,9595.83878474519,3719.97998046875
2022-10-19,9595.83878474519,3695.159912109375
2022-10-20,9595.83878474519,3665.780029296875
2022-10-21,9829.03244423493,3752.75
2022-10-24,9949.304989739601,3797.340087890625
2022-10-25,10108.18008042449,3859.110107421875
2022-10-26,10032.025078278015,3830.60009765625
2022-10-27,9978.453484906682,3807.300048828125
2022-10-28,10215.847497252269,3901.06005859375
2022-10-31,10142.055600598142,3871.97998046875
2022-11-01,10097.67512817552,3856.10009765625
2022-11-02,9844.263607468602,3759.68994140625
2022-11-03,9742.897533946465,3719.889892578125
2022-11-04,9883.128267691374,3770.550048828125
2022-11-07,9977.666325757147,3806.800048828125
2022-11-08,10031.499220149164,3828.110107421875
2022-11-09,9824.830463335344,3748.570068359375
2022-11-10,10364.745121860782,3956.3701171875
2022-11-11,10465.060293147086,3992.929931640625
2022-11-14,10376.036419237418,3957.25
2022-11-15,10464.534435018233,3991.72998046875
2022-11-16,10384.70331010102,3958.7900390625
2022-11-17,10352.927152333423,3946.56005859375
2022-11-18,10399.93447333469,3965.340087890625
2022-11-21,10362.119087304007,3949.93994140625
2022-11-22,10501.562661899381,4003.580078125
2022-11-23,10567.738569925737,4027.260009765625
2022-11-25,10565.374650411517,4026.1201171875
2022-11-28,10396.781766627191,3963.93994140625
2022-11-29,10378.92619688049,3957.6298828125
2022-11-30,10705.868313220852,4080.110107421875
2022-12-01,10697.990209550528,4076.570068359375
2022-12-02,10685.64882395993,4071.699951171875
2022-12-05,10493.42162916463,3998.840087890625
2022-12-06,10342.160085041896,3941.260009765625
2022-12-07,10324.565816315877,3933.919921875
2022-12-08,10405.448657490793,3963.510009765625
2022-12-09,10327.718523023375,3934.3798828125
2022-12-12,10476.614519588145,3990.56005859375
2022-12-13,10555.92222844212,4019.64990234375
2022-12-14,10488.432489115505,3995.320068359375
2022-12-15,10231.867447679217,3895.75
2022-12-16,10111.068230023822,3852.360107421875
2022-12-19,10025.329748386672,3817.659912109375
2022-12-20,10039.048458983487,3821.6201171875
2022-12-21,10189.156534114603,3878.43994140625
2022-12-22,10043.796648558708,3822.389892578125
2022-12-23,10101.571850873372,3844.820068359375
2022-12-27,10061.736062558151,3829.25
2022-12-28,9936.689278778376,3783.219970703125
2022-12-29,10115.553490534614,3849.280029296875
2022-12-30,10088.907298599872,3839.5
2023-01-03,10046.434893443551,3824.139892578125
2023-01-04,10123.99571136174,3852.969970703125
2023-01-05,10008.446120754283,3808.10009765625
2023-01-06,10237.961215407673,3895.080078125
2023-01-09,10232.157239465389,3892.090087890625
2023-01-10,10303.914081441297,3919.25
2023-01-11,10434.236540968888,3969.610107421875
2023-01-12,10472.224499636284,3983.169921875
2023-01-13,10512.851517210396,3999.090087890625
2023-01-17,10493.593387779465,3990.969970703125
2023-01-18,10327.921214469321,3928.860107421875
2023-01-19,10252.73571237155,3898.85009765625
2023-01-20,10443.733734141206,3972.610107421875
2023-01-23,10569.044261007277,4019.81005859375
2023-01-24,10557.699238187137,4016.949951171875
2023-01-25,10561.657012525338,4016.219970703125
2023-01-26,10677.734089305392,4060.429931640625
2023-01-27,10702.26789448414,4070.56005859375
