,time,open,high,low,close,tick_volume,spread,real_volume
3804,2022-03-14,1.09315,1.09939,1.09006,1.09427,112374,2,0
3805,2022-03-15,1.09427,1.1019700000000001,1.0926,1.09668,126612,2,0
3806,2022-03-16,1.09669,1.10466,1.09498,1.10214,144260,2,0
3807,2022-03-17,1.10215,1.11375,1.10203,1.10991,98840,2,0
3808,2022-03-18,1.10991,1.11184,1.10031,1.1051,94337,2,0
3809,2022-03-20,1.10554,1.10588,1.10408,1.10425,2967,2,0
3810,2022-03-21,1.10426,1.10701,1.10103,1.10166,84383,2,0
3811,2022-03-22,1.10166,1.10458,1.09609,1.10292,104167,2,0
3812,2022-03-23,1.10292,1.10398,1.0964,1.1006,84915,2,0
3813,2022-03-24,1.1006,1.10139,1.09659,1.1008499999999999,91821,2,0
3814,2022-03-25,1.1008499999999999,1.10378,1.09808,1.09834,92642,0,0
3815,2022-03-27,1.09848,1.09862,1.09774,1.09814,2887,2,0
3816,2022-03-28,1.09815,1.09996,1.09445,1.09913,117413,2,0
3817,2022-03-29,1.09913,1.11371,1.09688,1.1091199999999999,136305,0,0
3818,2022-03-30,1.10911,1.11711,1.10879,1.11612,125815,0,0
3819,2022-03-31,1.11612,1.11848,1.1061,1.10726,115703,2,0
3820,2022-04-01,1.10731,1.10758,1.10279,1.1049,88350,0,0
3821,2022-04-03,1.10314,1.10458,1.10314,1.10456,2977,2,0
3822,2022-04-04,1.10455,1.10544,1.09606,1.09751,76070,2,0
3823,2022-04-05,1.09749,1.09886,1.09,1.09059,82498,2,0
3824,2022-04-06,1.0906,1.09381,1.08745,1.08976,106458,2,0
3825,2022-04-07,1.08975,1.09384,1.08601,1.08642,99707,2,0
3826,2022-04-08,1.0864,1.08917,1.08362,1.08756,80934,2,0
3827,2022-04-10,1.09198,1.09217,1.08842,1.08842,5256,2,0
3828,2022-04-11,1.08841,1.09331,1.0872600000000001,1.08767,77575,2,0
3829,2022-04-12,1.08768,1.09036,1.08213,1.08259,102224,1,0
3830,2022-04-13,1.08259,1.08973,1.08088,1.08951,88617,1,0
3831,2022-04-14,1.08952,1.09232,1.07574,1.08202,118169,0,0
3832,2022-04-15,1.08205,1.08234,1.07962,1.08133,48392,1,0
3833,2022-04-17,1.08034,1.08216,1.08033,1.08138,4924,1,0
